i: 494, j:494, value: 1080.000000
i: 342, j:342, value: 3.614545
i: 343, j:343, value: 63.836720
i: 416, j:343, value: -19.193859
i: 344, j:344, value: 4.973145
i: 345, j:345, value: 90.858521
i: 348, j:345, value: -3.620565
i: 350, j:345, value: -12.033690
i: 352, j:345, value: -29.069771
i: 353, j:345, value: -21.886629
i: 346, j:346, value: 86.783691
i: 347, j:346, value: -24.213079
i: 349, j:346, value: -3.810976
i: 351, j:346, value: -12.195120
i: 353, j:346, value: -21.739130
i: 375, j:346, value: -3.990423
i: 347, j:347, value: 38.101971
i: 348, j:348, value: 3.620565
i: 349, j:349, value: 3.810976
i: 350, j:350, value: 12.033690
i: 351, j:351, value: 12.195120
i: 352, j:352, value: 49.903099
i: 395, j:352, value: -20.833330
i: 353, j:353, value: 10089.309570
i: 403, j:353, value: -10000.000000
i: 354, j:354, value: 9.430269
i: 420, j:354, value: -6.049607
i: 355, j:355, value: 11.433940
i: 356, j:356, value: 192.307693
i: 385, j:356, value: -192.307693
i: 357, j:357, value: 141.234604
i: 358, j:357, value: -15.785320
i: 359, j:357, value: -7.358893
i: 361, j:357, value: -7.873395
i: 399, j:357, value: -57.110222
i: 358, j:358, value: 32.048439
i: 360, j:358, value: -8.167265
i: 362, j:358, value: -8.095855
i: 359, j:359, value: 7.358893
i: 360, j:360, value: 8.167265
i: 361, j:361, value: 7.873395
i: 362, j:362, value: 8.095855
i: 363, j:363, value: 26.381069
i: 364, j:364, value: 42.553188
i: 365, j:365, value: 21.231421
i: 438, j:365, value: -21.231421
i: 366, j:366, value: 1.169727
i: 367, j:366, value: -1.169727
i: 367, j:367, value: 30.373970
i: 376, j:367, value: -3.522367
i: 426, j:367, value: -11.574070
i: 368, j:368, value: 262.983887
i: 369, j:368, value: -188.679199
i: 370, j:368, value: -13.698630
i: 371, j:368, value: -60.606060
i: 369, j:369, value: 277.779388
i: 372, j:369, value: -26.308861
i: 373, j:369, value: -26.483049
i: 370, j:370, value: 13.698630
i: 371, j:371, value: 84.359032
i: 372, j:372, value: 111.365700
i: 373, j:373, value: 108.604301
i: 392, j:373, value: -49.019611
i: 374, j:374, value: 123.080399
i: 408, j:374, value: -92.592590
i: 375, j:375, value: 12.330710
i: 376, j:376, value: 8.522367
i: 377, j:377, value: 121.016998
i: 395, j:377, value: -23.474180
i: 378, j:378, value: 74.572670
i: 379, j:379, value: 127.641197
i: 380, j:379, value: -35.211269
i: 381, j:379, value: -84.033623
i: 383, j:379, value: -8.396306
i: 380, j:380, value: 78.423897
i: 384, j:380, value: -9.813543
i: 381, j:381, value: 249.754807
i: 417, j:381, value: -153.846100
i: 430, j:381, value: -11.875070
i: 382, j:382, value: 123.456802
i: 384, j:382, value: -123.456802
i: 383, j:383, value: 8.396306
i: 384, j:384, value: 133.270294
i: 385, j:385, value: 248.315399
i: 386, j:386, value: 109.395103
i: 387, j:387, value: 10.035070
i: 388, j:388, value: 18.112909
i: 389, j:388, value: -1.649294
i: 389, j:389, value: 1.649294
i: 390, j:390, value: 8.220146
i: 439, j:390, value: -2.518892
i: 391, j:391, value: 386.149902
i: 392, j:392, value: 209.369400
i: 404, j:392, value: -138.312607
i: 393, j:393, value: 38.333340
i: 439, j:393, value: -5.000000
i: 394, j:394, value: 13.275970
i: 395, j:395, value: 44.307510
i: 396, j:396, value: 133.293106
i: 457, j:396, value: -10.582010
i: 465, j:396, value: -23.529409
i: 397, j:397, value: 14.920290
i: 398, j:398, value: 13.948250
i: 399, j:399, value: 286.596588
i: 400, j:400, value: 19.088640
i: 442, j:400, value: -13.812150
i: 401, j:401, value: 12.463160
i: 402, j:402, value: 85.607277
i: 403, j:402, value: -37.453190
i: 403, j:403, value: 10037.450195
i: 404, j:404, value: 212.222397
i: 405, j:405, value: 4.235493
i: 406, j:405, value: -4.235493
i: 406, j:406, value: 12.041890
i: 407, j:407, value: 21.769239
i: 408, j:408, value: 117.283997
i: 427, j:408, value: -24.691360
i: 409, j:409, value: 60.423382
i: 410, j:410, value: 12.372550
i: 418, j:410, value: -10.162600
i: 411, j:411, value: 31.565660
i: 412, j:411, value: -31.565660
i: 412, j:412, value: 83.281914
i: 437, j:412, value: -1.414447
i: 413, j:413, value: 2.541942
i: 414, j:414, value: 119.866302
i: 415, j:414, value: -8.333334
i: 416, j:414, value: -34.013599
i: 417, j:414, value: -77.519379
i: 415, j:415, value: 8.333334
i: 416, j:416, value: 108.854500
i: 417, j:417, value: 343.471100
i: 418, j:418, value: 17.687059
i: 419, j:419, value: 42.095482
i: 420, j:420, value: 19.046040
i: 424, j:420, value: -8.481764
i: 421, j:421, value: 51.322929
i: 422, j:421, value: -6.779501
i: 435, j:421, value: -22.271721
i: 422, j:422, value: 32.617409
i: 423, j:423, value: 9.963887
i: 424, j:424, value: 8.481764
i: 425, j:425, value: 30.211479
i: 426, j:426, value: 17.361111
i: 427, j:427, value: 66.708168
i: 428, j:428, value: 12.078350
i: 429, j:429, value: 490.550507
i: 431, j:429, value: -240.963898
i: 430, j:430, value: 91.875076
i: 431, j:430, value: -80.000000
i: 431, j:431, value: 492.372314
i: 432, j:432, value: 155.066895
i: 433, j:433, value: 3.724395
i: 434, j:434, value: 39.502960
i: 437, j:434, value: -9.970090
i: 435, j:435, value: 10032.620117
i: 436, j:435, value: -10.344850
i: 436, j:436, value: 57.517639
i: 437, j:437, value: 13.287490
i: 438, j:438, value: 66.628937
i: 439, j:439, value: 7.518892
i: 440, j:440, value: 6.767390
i: 441, j:441, value: 7.757952
i: 442, j:441, value: -7.757952
i: 442, j:442, value: 26.176279
i: 443, j:443, value: 14.708290
i: 444, j:444, value: 19.689119
i: 445, j:445, value: 69.858070
i: 446, j:445, value: -27.247959
i: 447, j:445, value: -26.455030
i: 449, j:445, value: -16.155090
i: 446, j:446, value: 83.551826
i: 450, j:446, value: -39.062500
i: 455, j:446, value: -17.241381
i: 447, j:447, value: 82.758904
i: 455, j:447, value: -17.241381
i: 448, j:448, value: 10000.000000
i: 450, j:448, value: -10000.000000
i: 449, j:449, value: 185.103195
i: 451, j:449, value: -6.622517
i: 452, j:449, value: -6.535948
i: 453, j:449, value: -6.535948
i: 450, j:450, value: 10039.059570
i: 451, j:451, value: 6.622517
i: 452, j:452, value: 6.535948
i: 453, j:453, value: 6.535948
i: 454, j:454, value: 73.473671
i: 455, j:454, value: -65.789467
i: 455, j:455, value: 112.036903
i: 456, j:456, value: 10219.709961
i: 457, j:456, value: -6.944445
i: 458, j:456, value: -10000.000000
i: 457, j:457, value: 80.496803
i: 459, j:457, value: -9.259259
i: 460, j:457, value: -2.272727
i: 461, j:457, value: -2.272727
i: 462, j:457, value: -3.780719
i: 463, j:457, value: -3.889537
i: 458, j:458, value: 10000.000000
i: 459, j:459, value: 9.259259
i: 460, j:460, value: 2.272727
i: 461, j:461, value: 2.272727
i: 462, j:462, value: 3.780719
i: 463, j:463, value: 3.889537
i: 464, j:464, value: 9.573227
i: 465, j:465, value: 57.742680
i: 466, j:466, value: 6796.339844
i: 467, j:466, value: -69.613647
i: 480, j:466, value: -6666.666992
i: 467, j:467, value: 313.516113
i: 481, j:467, value: -243.902405
i: 468, j:468, value: 78.336487
i: 472, j:468, value: -68.027206
i: 478, j:468, value: -10.309280
i: 469, j:469, value: 56.028912
i: 473, j:469, value: -11.976050
i: 478, j:469, value: -44.052860
i: 470, j:470, value: 69.984833
i: 471, j:470, value: -35.971230
i: 471, j:471, value: 60.125820
i: 472, j:471, value: -24.154591
i: 472, j:472, value: 92.181793
i: 473, j:473, value: 418.993896
i: 474, j:473, value: -33.898300
i: 475, j:473, value: -29.761909
i: 476, j:473, value: -44.444439
i: 477, j:473, value: -44.444439
i: 474, j:474, value: 33.898300
i: 475, j:475, value: 29.761909
i: 476, j:476, value: 44.444439
i: 477, j:477, value: 44.444439
i: 478, j:478, value: 66.542412
i: 479, j:479, value: 18.281540
i: 480, j:480, value: 6841.904785
i: 481, j:480, value: -32.051281
i: 483, j:480, value: -70.671379
i: 481, j:481, value: 662.705017
i: 482, j:481, value: -265.604187
i: 483, j:481, value: -32.258060
i: 486, j:481, value: -88.888893
i: 482, j:482, value: 318.880798
i: 486, j:482, value: -53.276501
i: 483, j:483, value: 204.970306
i: 484, j:483, value: -51.020409
i: 485, j:483, value: -51.020409
i: 484, j:484, value: 51.020409
i: 485, j:485, value: 51.020409
i: 486, j:486, value: 142.165405
i: 487, j:487, value: 22.624439
i: 488, j:488, value: 162.303802
i: 490, j:488, value: -72.167847
i: 493, j:488, value: -45.413261
i: 494, j:488, value: -44.722721
i: 489, j:489, value: 64.799751
i: 490, j:489, value: -44.052860
i: 491, j:489, value: -20.746889
i: 490, j:490, value: 170.274796
i: 492, j:490, value: -54.054050
i: 491, j:491, value: 20.746889
i: 492, j:492, value: 54.054050
i: 493, j:493, value: 111.638397
i: 494, j:494, value: 110.947899
i: 0, j:0, value: 0.000000
